arm	seed	episodes	correct	accuracy	seconds
e0_baseline_indomain	42	50	50	100.00	35
e0_baseline_indomain	43	50	50	100.00	33
e0_baseline_indomain	44	50	50	100.00	33
e0_baseline_indomain	45	50	50	100.00	33
e0_baseline_indomain	46	50	50	100.00	34
e1_ood_max	42	50	44	88.00	45
e1_ood_max	43	50	49	98.00	119
e1_ood_max	44	50	49	98.00	45
e1_ood_max	45	50	44	88.00	48
e1_ood_max	46	50	49	98.00	43
e1_ood_mean	42	50	43	86.00	52
e1_ood_mean	43	50	49	98.00	120
e1_ood_mean	44	50	48	96.00	42
e1_ood_mean	45	50	44	88.00	48
e1_ood_mean	46	50	49	98.00	119
e1_ood_consensus	42	50	43	86.00	61
e1_ood_consensus	43	50	49	98.00	121
e1_ood_consensus	44	50	48	96.00	46
e1_ood_consensus	45	50	44	88.00	49
e1_ood_consensus	46	50	49	98.00	121
