episode	lm	weight	score	was_correct
0	learning_module_0	1.0	0.5	True
0	learning_module_1	1.0	0.5	True
0	learning_module_2	1.0	0.5	True
0	learning_module_3	1.0	0.5	False
0	learning_module_4	1.0	0.5	True
1	learning_module_0	1.0	0.5	True
1	learning_module_1	1.0	0.5	True
1	learning_module_2	1.0	0.5	True
1	learning_module_3	1.0	0.5	True
1	learning_module_4	1.0	0.5	True
2	learning_module_0	1.0	0.5	True
2	learning_module_1	1.0	0.5	True
2	learning_module_2	1.0	0.5	True
2	learning_module_3	1.0	0.5	True
2	learning_module_4	1.0	0.5	False
3	learning_module_0	1.0	0.5	True
3	learning_module_1	1.0	0.5	True
3	learning_module_2	1.0	0.5	True
3	learning_module_3	1.0	0.5	False
3	learning_module_4	1.0	0.5	False
4	learning_module_0	1.0	0.5	True
4	learning_module_1	1.0	0.5	True
4	learning_module_2	1.0	0.5	True
4	learning_module_3	1.0	0.5	False
4	learning_module_4	1.0	0.5	True
5	learning_module_0	1.0	0.5	True
5	learning_module_1	1.0	0.5	True
5	learning_module_2	1.0	0.5	True
5	learning_module_3	1.0	0.5	True
5	learning_module_4	1.0	0.5	True
6	learning_module_0	1.0	0.5	True
6	learning_module_1	1.0	0.5	True
6	learning_module_2	1.0	0.5	True
6	learning_module_3	1.0	0.5	True
6	learning_module_4	1.0	0.5	False
7	learning_module_0	1.0	0.5	True
7	learning_module_1	1.0	0.5	True
7	learning_module_2	1.0	0.5	True
7	learning_module_3	1.0	0.5	True
7	learning_module_4	1.0	0.5	True
8	learning_module_0	1.0	0.5	True
8	learning_module_1	1.0	0.5	True
8	learning_module_2	1.0	0.5	True
8	learning_module_3	1.0	0.5	False
8	learning_module_4	1.0	0.5	False
9	learning_module_0	1.0	0.5	True
9	learning_module_1	1.0	0.5	True
9	learning_module_2	1.0	0.5	True
9	learning_module_3	1.0	0.5	True
9	learning_module_4	1.0	0.5	True
10	learning_module_0	1.0	0.5	True
10	learning_module_1	1.0	0.5	True
10	learning_module_2	1.0	0.5	True
10	learning_module_3	1.0	0.5	False
10	learning_module_4	1.0	0.5	True
11	learning_module_0	1.0	0.5	True
11	learning_module_1	1.0	0.5	True
11	learning_module_2	1.0	0.5	True
11	learning_module_3	1.0	0.5	True
11	learning_module_4	1.0	0.5	True
12	learning_module_0	1.0	0.5	True
12	learning_module_1	1.0	0.5	True
12	learning_module_2	1.0	0.5	True
12	learning_module_3	1.0	0.5	False
12	learning_module_4	1.0	0.5	False
13	learning_module_0	1.0	0.5	True
13	learning_module_1	1.0	0.5	True
13	learning_module_2	1.0	0.5	True
13	learning_module_3	1.0	0.5	False
13	learning_module_4	1.0	0.5	False
14	learning_module_0	1.0	0.5	True
14	learning_module_1	1.0	0.5	True
14	learning_module_2	1.0	0.5	True
14	learning_module_3	1.0	0.5	True
14	learning_module_4	1.0	0.5	False
15	learning_module_0	1.0	0.5	True
15	learning_module_1	1.0	0.5	True
15	learning_module_2	1.0	0.5	True
15	learning_module_3	1.0	0.5	True
15	learning_module_4	1.0	0.5	True
16	learning_module_0	1.0	0.5	True
16	learning_module_1	1.0	0.5	True
16	learning_module_2	1.0	0.5	True
16	learning_module_3	1.0	0.5	False
16	learning_module_4	1.0	0.5	False
17	learning_module_0	1.0	0.5	True
17	learning_module_1	1.0	0.5	True
17	learning_module_2	1.0	0.5	True
17	learning_module_3	1.0	0.5	True
17	learning_module_4	1.0	0.5	False
18	learning_module_0	1.0	0.5	True
18	learning_module_1	1.0	0.5	True
18	learning_module_2	1.0	0.5	True
18	learning_module_3	1.0	0.5	False
18	learning_module_4	1.0	0.5	False
19	learning_module_0	1.0	0.5	True
19	learning_module_1	1.0	0.5	True
19	learning_module_2	1.0	0.5	True
19	learning_module_3	1.0	0.5	False
19	learning_module_4	1.0	0.5	False
20	learning_module_0	1.0	0.5	True
20	learning_module_1	1.0	0.5	True
20	learning_module_2	1.0	0.5	True
20	learning_module_3	1.0	0.5	True
20	learning_module_4	1.0	0.5	True
21	learning_module_0	1.0	0.5	True
21	learning_module_1	1.0	0.5	True
21	learning_module_2	1.0	0.5	True
21	learning_module_3	1.0	0.5	True
21	learning_module_4	1.0	0.5	True
22	learning_module_0	1.0	0.5	True
22	learning_module_1	1.0	0.5	True
22	learning_module_2	1.0	0.5	True
22	learning_module_3	1.0	0.5	True
22	learning_module_4	1.0	0.5	True
23	learning_module_0	1.0	0.5	True
23	learning_module_1	1.0	0.5	True
23	learning_module_2	1.0	0.5	True
23	learning_module_3	1.0	0.5	True
23	learning_module_4	1.0	0.5	True
24	learning_module_0	1.0	0.5	True
24	learning_module_1	1.0	0.5	True
24	learning_module_2	1.0	0.5	True
24	learning_module_3	1.0	0.5	True
24	learning_module_4	1.0	0.5	False
25	learning_module_0	1.0	0.5	True
25	learning_module_1	1.0	0.5	True
25	learning_module_2	1.0	0.5	True
25	learning_module_3	1.0	0.5	False
25	learning_module_4	1.0	0.5	True
26	learning_module_0	1.0	0.5	True
26	learning_module_1	1.0	0.5	True
26	learning_module_2	1.0	0.5	True
26	learning_module_3	1.0	0.5	False
26	learning_module_4	1.0	0.5	False
27	learning_module_0	1.0	0.5	True
27	learning_module_1	1.0	0.5	True
27	learning_module_2	1.0	0.5	True
27	learning_module_3	1.0	0.5	True
27	learning_module_4	1.0	0.5	True
28	learning_module_0	1.0	0.5	True
28	learning_module_1	1.0	0.5	True
28	learning_module_2	1.0	0.5	True
28	learning_module_3	1.0	0.5	False
28	learning_module_4	1.0	0.5	True
29	learning_module_0	1.0	0.5	True
29	learning_module_1	1.0	0.5	True
29	learning_module_2	1.0	0.5	True
29	learning_module_3	1.0	0.5	False
29	learning_module_4	1.0	0.5	True
30	learning_module_0	1.0	0.5	True
30	learning_module_1	1.0	0.5	True
30	learning_module_2	1.0	0.5	True
30	learning_module_3	1.0	0.5	True
30	learning_module_4	1.0	0.5	True
31	learning_module_0	1.0	0.5	True
31	learning_module_1	1.0	0.5	True
31	learning_module_2	1.0	0.5	True
31	learning_module_3	1.0	0.5	True
31	learning_module_4	1.0	0.5	False
32	learning_module_0	1.0	0.5	True
32	learning_module_1	1.0	0.5	True
32	learning_module_2	1.0	0.5	True
32	learning_module_3	1.0	0.5	True
32	learning_module_4	1.0	0.5	True
33	learning_module_0	1.0	0.5	True
33	learning_module_1	1.0	0.5	True
33	learning_module_2	1.0	0.5	False
33	learning_module_3	1.0	0.5	True
33	learning_module_4	1.0	0.5	False
34	learning_module_0	1.0	0.5	True
34	learning_module_1	1.0	0.5	True
